transaction_id,customer_id,product_id_x,quantity,transaction_date,total_amount,Card_Type,product_id_y,product_name,last_restock_date,product_quantity,unit_price,supplier
25-2872186,54-9449404,54-4818056,7925.0,19.03.2023,506079,mastercard,54-4818056,Garbage Bags - Clear,28.12.2022,,2010.33,Nadean Piddlehinton
00-5672227,54-4180693,67-8605069,2206.0,18.10.2023,316589,jcb,67-8605069,Muffin - Zero Transfat,29.06.2023,4951.0,3609.21,Jecho Marousek
40-1947319,61-6271929,10-2615476,2586.0,,86389,bankcard,10-2615476,Dried Cranberries,01.02.2023,6916.0,3464.87,Harold Mangeot
62-4391347,85-9154463,95-2813871,7380.0,,511507,jcb,95-2813871,Bread - Rye,14.04.2023,8513.0,2011.94,Inessa Chateau
68-1462722,37-9310844,24-9091856,891.0,26.02.2023,131463,jcb,24-9091856,"Salmon - Smoked, Sliced",22.07.2023,3357.0,4476.35,Bob Janks
42-2852542,69-1536365,,6028.0,,65066,diners-club-enroute,,Cumin - Ground,23.06.2023,4865.0,1451.82,Kinnie Ashworth
12-7992820,36-7264422,80-3972075,3796.0,29.04.2023,455710,jcb,80-3972075,Tomatoes - Roma,28.03.2023,4121.0,1676.4,Franchot Pinkerton
17-2909512,58-3166132,54-9539738,3821.0,11.12.2022,263796,mastercard,54-9539738,Pastry - Chocolate Marble Tea,03.11.2023,5915.0,3774.89,Michelle Early
84-8104568,86-6007591,10-9822345,678.0,14.02.2023,456612,,10-9822345,"Juice - Pineapple, 341 Ml",20.06.2023,591.0,3426.1,Vernor Kytter
25-7497283,51-2817674,07-7882623,8659.0,27.07.2023,43778,switch,07-7882623,Cream - 18%,17.12.2022,9483.0,2969.41,Ilysa Nequest
56-4034983,70-7411062,37-5391482,1653.0,18.06.2023,422037,diners-club-us-ca,37-5391482,Oil - Olive,28.09.2023,5062.0,2112.04,Bertram Fawke
44-5871973,05-2671658,66-1588380,4680.0,,127149,jcb,66-1588380,Flower - Dish Garden,05.03.2023,245.0,688.23,Mil Ceeley
52-8612058,41-8231958,18-0899742,7544.0,21.06.2023,106317,instapayment,18-0899742,Venison - Racks Frenched,12.02.2023,8683.0,385.22,Damon Tookey
63-4110833,85-3082531,24-1570462,2925.0,31.12.2022,429114,,24-1570462,"Wine - White, French Cross",21.10.2023,4647.0,3788.17,Rosemary Macak
77-5447416,97-0217405,,,15.07.2023,126680,jcb,,Red Pepper Paste,,8945.0,174.07,Renata Groucock
99-4700067,85-8790015,30-5824112,8557.0,,590027,jcb,30-5824112,Pepper - Scotch Bonnet,27.08.2023,,2886.04,Misha McLice
90-8018818,34-2108158,90-9162009,,15.11.2023,379321,china-unionpay,90-9162009,Lotus Root,13.12.2022,2403.0,4320.68,Lind Elnough
98-9332778,84-6665855,61-7086227,5179.0,25.01.2023,463103,americanexpress,61-7086227,Buffalo - Short Rib Fresh,25.10.2023,7422.0,2207.64,Cori Fuller
35-6977041,07-6627594,62-2500038,8657.0,05.12.2022,315396,,62-2500038,Tandoori Curry Paste,27.10.2023,6532.0,,Bear Wreight
11-7433696,20-6964744,15-4920204,8907.0,11.04.2023,275454,americanexpress,15-4920204,Lamb Rack Frenched Australian,13.04.2023,223.0,3703.15,Christa Heims
03-4082061,22-9024599,28-6635779,,19.03.2023,376037,jcb,28-6635779,Bay Leaf,19.12.2022,6511.0,,Sheff Hurll
03-3626225,88-0494763,08-2371798,5557.0,,372801,diners-club-carte-blanche,08-2371798,Sausage - Andouille,23.01.2023,,1154.34,Annadiana Cornilleau
47-0267100,48-1823712,22-1084745,6196.0,11.10.2023,127000,solo,22-1084745,"Pork - Back, Long Cut, Boneless",15.09.2023,3481.0,3422.15,Banky Newiss
38-5984316,11-5457304,45-9898962,9082.0,,420399,maestro,45-9898962,"Beef - Ground, Extra Lean, Fresh",18.05.2023,7394.0,4262.13,Dominic Skett
79-8238561,49-7704560,03-7502449,2022.0,17.05.2023,257589,americanexpress,03-7502449,Bok Choy - Baby,12.07.2023,8904.0,2986.64,Brooks Carbery
95-6047681,29-2538583,87-4417301,1865.0,05.08.2023,355737,switch,87-4417301,"Juice - Orange, Concentrate",27.06.2023,9786.0,,Bondy Northen
61-1018956,40-9700420,16-7662538,3667.0,17.06.2023,514542,,16-7662538,Raisin - Dark,11.07.2023,3455.0,432.13,Hermy Acland
48-8598282,61-6178082,86-6678192,3792.0,22.09.2023,596854,visa,86-6678192,"Bread - Rolls, Rye",25.11.2022,2151.0,429.2,Johnnie Cianni
07-7929853,50-1068248,,4455.0,23.10.2023,550104,,,Beef - Diced,04.06.2023,7445.0,2986.7,Perri Gulk
63-1033188,00-8752952,47-7645336,2065.0,11.04.2023,242859,,47-7645336,Pear - Prickly,,6541.0,273.88,Geri Oattes
51-6189911,39-2678831,03-6192510,8046.0,21.07.2023,361915,mastercard,03-6192510,"Soup - Knorr, Veg / Beef",18.09.2023,5466.0,1527.44,Kameko Forshaw
79-4013650,87-2585602,,8797.0,01.09.2023,206349,,,Cake Slab,20.06.2023,6682.0,3959.19,Trudy Crispe
47-0008789,10-2144930,94-6894206,8153.0,06.01.2023,295817,diners-club-enroute,94-6894206,Cactus Pads,22.10.2023,9532.0,147.54,Rafaelia Rubinovici
11-9042682,30-2475210,,,29.12.2022,337913,,,Langers - Ruby Red Grapfruit,04.09.2023,9675.0,82.12,Pippa Dungay
55-9334373,83-3126875,58-8848934,6150.0,29.06.2023,225736,laser,58-8848934,Strawberries,27.05.2023,1538.0,1355.3,Hugh Balazs
31-0274266,16-3514444,52-9679428,3233.0,21.08.2023,285867,,52-9679428,Appetizer - Mushroom Tart,24.10.2023,6354.0,2235.01,Hieronymus Tremoille
91-9129153,27-0719017,38-4449128,4730.0,19.11.2023,212371,jcb,38-4449128,"Trout - Rainbow, Fresh",,770.0,2430.15,Kelly Lindenbluth
65-7640817,61-5706656,81-3766551,5637.0,,140395,switch,81-3766551,Wine - Wyndham Estate Bin 777,14.03.2023,4855.0,2127.45,Elfie Gallaccio
56-4066792,19-3918745,60-2114347,5787.0,20.11.2022,24869,maestro,60-2114347,Spice - Onion Powder Granulated,01.04.2023,969.0,1495.64,Ashlee Pardue
40-3225333,49-7207269,59-3857887,9750.0,09.10.2023,327841,maestro,59-3857887,Gherkin - Sour,25.09.2023,1024.0,2319.07,Taber Jeannesson
67-1606297,44-3770400,75-1000427,4516.0,18.05.2023,102823,jcb,75-1000427,Wine - Gewurztraminer Pierre,,599.0,2240.41,Huntley Gadeaux
15-4348444,93-9875868,25-0122970,,15.05.2023,542261,jcb,25-0122970,"Veal - Leg, Provimi - 50 Lb Max",28.09.2023,9535.0,2100.43,Shalna Gillebride
92-7242198,11-7135072,46-2022320,6667.0,09.03.2023,326658,,46-2022320,Island Oasis - Wildberry,12.02.2023,3084.0,74.21,Beryl Cleiment
34-8409958,29-5200453,20-3169461,6377.0,,319969,,20-3169461,Muffin Batt - Blueberry Passion,09.06.2023,7359.0,4227.17,Babette Broadnicke
12-5961530,78-4725007,44-2931596,521.0,15.08.2023,433792,americanexpress,44-2931596,Creme De Cacao White,02.04.2023,7895.0,231.07,Conney Iaduccelli
97-9791214,12-5503157,30-6022603,4171.0,15.12.2022,586642,jcb,30-6022603,"Quail - Eggs, Fresh",29.10.2023,,2543.76,Paige Sharville
31-4411548,34-3081952,04-5292641,6216.0,10.05.2023,358910,mastercard,04-5292641,Salt And Pepper Mix - Black,02.06.2023,5318.0,1689.4,Roda Licciardo
90-0850754,30-2756168,48-9540310,4484.0,17.02.2023,332212,switch,48-9540310,Chips Potato All Dressed - 43g,09.02.2023,2937.0,4118.96,Thornton Twinborough
21-4670344,13-4958855,,7166.0,25.09.2023,599003,,,Chicken - Tenderloin,,5040.0,4351.91,Bette Bulbeck
85-7869207,57-3429810,81-7855271,,18.09.2023,249683,jcb,81-7855271,Wiberg Super Cure,04.02.2023,6683.0,3631.16,Coletta Broggio
06-0787804,21-8487113,13-6182648,4990.0,05.08.2023,319627,,13-6182648,"Stock - Beef, Brown",,674.0,,Bab Kempstone
59-2226830,31-7493614,,7287.0,14.05.2023,336499,mastercard,,Cheese - Camembert,15.01.2023,5730.0,,Guillermo Paolini
53-9365931,26-3549653,73-3740707,2913.0,09.06.2023,208417,,73-3740707,"Tart Shells - Savory, 3",,5676.0,2003.03,Tiffani Crates
32-3528149,31-1035905,,1209.0,14.08.2023,162889,diners-club-carte-blanche,,Capers - Ox Eye Daisy,03.11.2023,2283.0,824.55,Amber Measom
74-4347012,62-9429896,30-6824295,1905.0,14.03.2023,38772,,30-6824295,Fond - Chocolate,03.12.2022,8657.0,1172.06,Loise Kopje
30-9084386,36-1802950,11-8659287,,,143521,,11-8659287,Grapefruit - White,30.11.2022,6308.0,2035.2,Goldi Heinicke
65-6956971,98-3411103,85-1849180,3851.0,,333473,,85-1849180,Sword Pick Asst,,7023.0,1550.77,Tate Johannesson
77-8078572,35-8811293,91-7433306,5538.0,14.10.2023,67320,instapayment,91-7433306,"Chilli Paste, Ginger Garlic",04.10.2023,2603.0,2718.45,Demott Hollindale
30-4722733,92-5601128,38-4430268,5129.0,08.02.2023,451158,,38-4430268,Sobe - Liz Blizz,29.05.2023,8455.0,92.77,Kristi Edds
94-2647179,53-2501718,74-0876658,9985.0,23.04.2023,176245,,74-0876658,Cake - French Pear Tart,14.06.2023,2568.0,3543.12,Raddy Iaduccelli
35-0201841,35-2796876,91-1529812,1686.0,01.02.2023,476787,,91-1529812,"Rum - Spiced, Captain Morgan",19.05.2023,1653.0,2315.86,Baxy Chappel
59-0099778,43-3797456,91-8452380,2089.0,15.07.2023,164463,jcb,91-8452380,Petite Baguette,,9320.0,2215.92,Harrie McCadden
84-9576169,61-9451150,36-9245592,4236.0,01.12.2022,480361,,36-9245592,Shrimp - Prawn,22.07.2023,214.0,2942.33,Karim Najara
80-2131660,74-6330638,66-4336876,8974.0,02.02.2023,361479,mastercard,66-4336876,Pie Shell - 9,10.01.2023,2864.0,2665.0,Rasla Nardi
78-2261383,94-3904641,38-9163735,8662.0,20.02.2023,328986,jcb,38-9163735,Cod - Fillets,23.04.2023,5201.0,2581.74,Adoree Yaakov
48-4814207,03-4292769,08-2002319,2975.0,26.03.2023,291731,solo,08-2002319,Appetizer - Southwestern,17.09.2023,5460.0,1466.57,Simonette Scollick
66-9631356,40-3324116,73-0542985,2071.0,14.06.2023,280794,,73-0542985,Corn Meal,10.07.2023,2544.0,,Fowler Mousby
08-1515015,91-5164482,91-2009960,3771.0,15.11.2023,300134,switch,91-2009960,Syrup - Chocolate,14.12.2022,5823.0,1535.74,Giulio Robecon
59-3732198,61-0740973,43-6466317,3487.0,02.05.2023,171089,,43-6466317,Wine - Two Oceans Cabernet,06.09.2023,7427.0,3896.47,Dianemarie Faithfull
63-3251689,11-8316178,35-1836133,9524.0,17.11.2023,448469,diners-club-enroute,35-1836133,Pepper - Pablano,,6207.0,2380.4,Maridel Clavey
50-3496261,67-1317299,71-0319582,1931.0,,151211,diners-club-enroute,71-0319582,Pasta - Ravioli,12.09.2023,5849.0,2613.38,Bunni Haithwaite
93-0358398,87-4931154,04-3960497,7560.0,23.11.2022,253504,jcb,04-3960497,Sterno - Chafing Dish Fuel,27.11.2022,1984.0,1225.16,Eugenia Rodda
92-7122585,79-2984970,41-6623714,4312.0,05.02.2023,288867,solo,41-6623714,"Wine - Red, Cabernet Sauvignon",,2079.0,278.56,Kinna Rouzet
21-9748973,39-0995249,21-2435031,7143.0,11.08.2023,14757,china-unionpay,21-2435031,Extract - Lemon,,7322.0,3079.39,Madelene Channing
63-8855355,82-5303152,15-8291991,2969.0,15.09.2023,559289,mastercard,15-8291991,Papadam,11.02.2023,2490.0,1306.96,Nichole Astell
07-8485412,71-0372743,92-9788723,3809.0,16.10.2023,522467,jcb,92-9788723,Tuna - Fresh,19.08.2023,5579.0,823.54,Minetta Latch
33-3904457,58-5393945,87-0576421,,02.04.2023,242818,,87-0576421,Roe - Flying Fish,29.06.2023,1797.0,2834.4,Korey McNaught
46-4745953,06-6916279,29-6717258,8485.0,28.11.2022,423784,mastercard,29-6717258,Magnotta - Bel Paese White,07.12.2022,8402.0,1392.98,Ode Rodmell
46-4692630,29-1377593,68-5651065,5861.0,10.01.2023,569447,china-unionpay,68-5651065,Sour Puss Sour Apple,03.03.2023,9386.0,2215.84,Gilberte Euston
18-0245688,53-6099727,,1354.0,,73278,,,Bagel - Everything,23.04.2023,2112.0,2870.59,Deerdre Gravy
62-3842491,56-7818121,,3300.0,,298795,,,Cake Slab,19.09.2023,,874.95,Corinne Vigers
41-2392813,23-9070226,14-6980170,7916.0,02.06.2023,64736,mastercard,14-6980170,Pork - Liver,10.11.2023,369.0,891.19,Moise Sexti
15-0496164,30-6067665,07-6578046,4625.0,20.01.2023,488209,,07-6578046,Sage - Fresh,28.08.2023,8822.0,248.48,Auberta Barrass
56-9686387,15-2928387,87-4508805,4002.0,20.10.2023,371589,jcb,87-4508805,Ham Black Forest,22.05.2023,8334.0,582.66,Jennilee Vickers
47-6397143,09-6272934,20-6327313,4128.0,16.11.2023,10283,diners-club-enroute,20-6327313,"Wine - White, Gewurtzraminer",09.11.2023,2531.0,4474.54,Justino Shepperd
88-3006041,36-2787829,92-1832780,4495.0,11.09.2023,195056,,92-1832780,Table Cloth 91x91 Colour,09.04.2023,8687.0,1970.53,Joline Hadrill
49-9710387,83-0672419,07-4304705,8579.0,09.09.2023,96253,jcb,07-4304705,Nantucket - Carrot Orange,27.11.2022,9077.0,3874.18,Halie MacFadzean
75-9989105,79-6139455,83-9491892,2303.0,12.01.2023,585407,laser,83-9491892,Soup - Chicken And Wild Rice,22.01.2023,9764.0,921.72,Clemmie Odell
53-1493031,25-4372164,29-4851279,,13.07.2023,391227,maestro,29-4851279,Beef Cheek Fresh,13.06.2023,9570.0,1708.56,Oliver Tegeller
64-5254263,11-9946364,30-3560576,2028.0,,524924,jcb,30-3560576,"Olives - Green, Pitted",29.08.2023,3874.0,128.98,Chase Whelpton
78-3083113,36-9478955,,,19.02.2023,489934,switch,,Soup - Campbells Asian Noodle,11.09.2023,2957.0,,Giacopo Janek
04-6292515,40-7650285,04-8183435,3450.0,14.04.2023,538649,jcb,04-8183435,"Rum - Dark, Bacardi, Black",25.02.2023,5825.0,2723.27,Florence Youell
59-1035989,00-0992467,81-6923732,1938.0,17.12.2022,70818,,81-6923732,Sobe - Orange Carrot,29.03.2023,1384.0,3459.22,Amii Cyson
06-1534429,81-1757841,12-4966590,,16.01.2023,327104,,12-4966590,Bread - Italian Corn Meal Poly,28.09.2023,5254.0,809.95,Doris Kernocke
87-7773913,83-1790014,46-5223292,7559.0,14.12.2022,424187,jcb,46-5223292,"Wine - Red, Mouton Cadet",21.03.2023,3842.0,4250.01,Peadar Thring
73-0493884,53-5000016,70-8702362,4239.0,30.03.2023,463105,,70-8702362,Ginger - Pickled,24.03.2023,4763.0,3087.11,Ellis MacCrackan
15-4360685,18-7905757,01-2264632,,11.12.2022,63355,laser,01-2264632,Compound - Strawberry,23.12.2022,4603.0,1111.79,Jennilee Blood
26-5102956,58-8165221,15-5012122,8503.0,22.08.2023,170748,,15-5012122,Cup - Translucent 7 Oz Clear,22.09.2023,,682.89,Shaw Murrum
04-0963461,95-4911723,80-6812822,2055.0,08.09.2023,436181,,80-6812822,Jagermeister,,941.0,333.09,Erin Wickliffe
39-2892488,05-8699108,06-5762092,9102.0,17.02.2023,292246,mastercard,06-5762092,Lemon Balm - Fresh,05.07.2023,9655.0,4270.96,Waly MacWhirter
03-3844628,01-8595438,,3684.0,,186811,,,Bread - Calabrese Baguette,03.05.2023,510.0,178.05,Cristiano Prangley
72-6938227,71-6289819,32-4221148,5952.0,04.06.2023,1425,,32-4221148,Bread - Granary Small Pull,08.12.2022,3722.0,420.89,Kata Flory
95-8720920,00-5151670,23-6021796,6744.0,14.05.2023,489071,,23-6021796,Ice Cream - Fudge Bars,,7868.0,1927.98,Boigie Paulon
51-8645329,41-1858859,13-1525908,8804.0,15.11.2023,548214,,13-1525908,The Pop Shoppe - Root Beer,,9126.0,4226.76,Jere Squier
93-1093887,52-3231036,01-6645527,9798.0,25.02.2023,426062,,01-6645527,Shrimp - 100 / 200 Cold Water,15.01.2023,8764.0,3611.07,Monroe Geroldini
08-3654605,56-5783416,35-5381244,126.0,24.10.2023,530843,jcb,35-5381244,Wine - Blue Nun Qualitatswein,14.09.2023,4612.0,,Emily Hodge
07-4654232,98-7278185,99-0278295,705.0,14.11.2023,68462,instapayment,99-0278295,"Cheese - Manchego, Spanish",,9065.0,1882.76,Maxy Jills
10-5251564,55-0136860,28-5101799,4186.0,24.06.2023,228207,jcb,28-5101799,Grenadillo,18.09.2023,9886.0,3542.23,Joletta Rounsefull
80-3275813,17-3691011,03-2528625,9425.0,14.03.2023,289821,americanexpress,03-2528625,Parsley - Dried,09.08.2023,,2028.81,Paolina Pregel
53-4759661,89-4319703,72-3465467,9419.0,07.05.2023,435705,jcb,72-3465467,V8 - Berry Blend,22.01.2023,2481.0,431.68,Ruth Milthorpe
10-4974772,20-1358319,42-5663259,6681.0,05.11.2023,413383,,42-5663259,Cleaner - Pine Sol,23.05.2023,3672.0,1123.38,Haydon Bartrap
12-4741778,52-6725560,72-1440567,4676.0,14.03.2023,453071,maestro,72-1440567,"Lamb - Whole, Fresh",06.07.2023,9693.0,2443.71,Washington Grzegorczyk
25-5474644,80-8463724,99-0269178,4693.0,19.06.2023,155991,jcb,99-0269178,"Chicken - White Meat, No Tender",17.09.2023,4904.0,1383.44,Ebony Kiffin
71-1124379,73-9426860,56-8191617,3947.0,04.11.2023,232594,diners-club-us-ca,56-8191617,Papayas,10.01.2023,1911.0,3428.82,Darrell Roskruge
81-1060319,61-7751905,46-3112702,,17.06.2023,104629,solo,46-3112702,Pike - Frozen Fillet,27.01.2023,822.0,3347.71,Allegra O'Currine
21-4764214,48-6254706,40-1634672,1091.0,17.08.2023,172059,jcb,40-1634672,"Mushroom - Chanterelle, Dry",04.10.2023,7314.0,2246.08,Sheilah Skeates
27-7376119,19-4778260,65-2143593,2416.0,19.10.2023,101590,jcb,65-2143593,"Cheese - Manchego, Spanish",20.12.2022,8913.0,3103.18,Natty Robard
59-9302083,61-5525966,56-4996263,2853.0,28.06.2023,13953,,56-4996263,Oil - Peanut,28.09.2023,,3416.81,Gavan Greenstock
04-3919968,57-9284090,01-4712122,7494.0,07.03.2023,562573,,01-4712122,Foil - 4oz Custard Cup,18.09.2023,6700.0,3072.79,Early Burgoin
90-9147710,50-7043405,08-8870503,,04.09.2023,501319,switch,08-8870503,"Coffee - Beans, Whole",01.08.2023,7847.0,1675.22,Josey Apark
69-9094558,64-7456554,,,31.12.2022,256941,,,Wine - White Cab Sauv.on,19.09.2023,1707.0,2958.61,Edd Staley
10-6644145,47-5134780,97-9801329,8279.0,03.10.2023,75168,jcb,97-9801329,"Wine - Bourgogne 2002, La",23.08.2023,189.0,3880.37,Corinne Jakeman
72-7370058,78-9174754,78-5795832,6505.0,23.03.2023,390562,mastercard,78-5795832,Muffin Puck Ww Carrot,04.01.2023,9289.0,2768.94,Astrid Philcock
30-1323301,59-1136940,52-8743924,,27.05.2023,207921,bankcard,52-8743924,Bread - Mini Hamburger Bun,31.01.2023,5763.0,1355.38,Nessi De Few
62-0397650,69-1395318,33-2159547,2927.0,08.07.2023,140145,jcb,33-2159547,Milk - Condensed,12.01.2023,3455.0,4486.95,Gates Low
05-4035936,40-0861056,93-5837678,2710.0,08.08.2023,245896,jcb,93-5837678,Eggwhite Frozen,,2755.0,2730.73,Brit Cadden
84-8089860,61-3434187,64-8015178,4712.0,01.02.2023,587502,,64-8015178,Muffin - Banana Nut Individual,07.10.2023,4878.0,527.58,Fawnia Checo
39-8659486,08-5409183,65-2889948,3170.0,30.03.2023,131496,jcb,65-2889948,Foil - 4oz Custard Cup,21.03.2023,,4402.71,Andy Dear
82-6244149,04-8711631,01-5025464,9448.0,07.03.2023,527862,jcb,01-5025464,Pastry - Lemon Danish - Mini,25.11.2022,4400.0,1744.24,Gregory Guerrieri
59-9425930,94-1318292,23-6352202,4758.0,06.02.2023,121613,,23-6352202,"Tomatoes - Plum, Canned",10.08.2023,681.0,3394.52,Ardine Blackbourn
86-9603310,77-6065206,10-7139629,,24.01.2023,538929,,10-7139629,Wine - Prem Select Charddonany,06.06.2023,5440.0,227.42,Andris MacGhee
20-3766186,61-1727002,47-6123044,5052.0,06.05.2023,321405,visa-electron,47-6123044,Bandage - Fexible 1x3,06.09.2023,3557.0,2533.52,Royall Cristofalo
38-3319233,06-0701241,65-4961710,4723.0,30.06.2023,416895,,65-4961710,Honey - Comb,01.02.2023,,4370.71,Evangelina Critten
86-8919403,63-7571475,01-0265066,7758.0,17.03.2023,193725,,01-0265066,Hummus - Spread,18.07.2023,7612.0,4302.05,Yurik Figgins
69-2945449,81-9017957,12-8063260,7898.0,28.09.2023,75272,,12-8063260,Grapefruit - Pink,,120.0,2306.94,Arnoldo Gniewosz
68-7239270,42-9439685,88-0030065,37.0,02.08.2023,465046,,88-0030065,Tea - Decaf 1 Cup,30.11.2022,150.0,,Neysa Hurford
79-9224504,90-1384103,58-8039109,,27.09.2023,408219,,58-8039109,Garlic - Peeled,02.04.2023,2105.0,3429.86,Lark Purveys
79-1388347,41-6210171,92-0205077,3976.0,02.03.2023,236023,,92-0205077,"Ham - Smoked, Bone - In",25.10.2023,8688.0,3602.43,Ruprecht Whinney
27-0102040,48-3264416,29-7901289,2149.0,10.11.2023,374112,mastercard,29-7901289,Veal - Inside,,7974.0,3073.06,Ellwood Cartmael
03-1884639,47-3064579,03-1873811,1629.0,,334433,maestro,03-1873811,Cocoa Powder - Natural,04.03.2023,9631.0,1964.37,Gabrielle Hallex
62-3182910,02-1949155,76-7732198,7618.0,09.11.2023,168706,americanexpress,76-7732198,Beer - Steamwhistle,26.01.2023,7985.0,1301.33,Abigail Leeuwerink
65-5229704,04-6890598,92-0330466,6262.0,07.04.2023,207406,,92-0330466,"Vermouth - White, Cinzano",27.02.2023,4208.0,142.2,Gilbertine Broadhead
87-9770201,75-1301514,17-8364047,405.0,02.11.2023,268554,jcb,17-8364047,Coffee - Almond Amaretto,10.12.2022,6032.0,1971.49,Della Tythacott
41-2177363,59-1652828,,9993.0,26.11.2022,451133,solo,,Cranberry Foccacia,07.06.2023,6961.0,3448.77,Althea Mower
58-1283258,63-2710573,60-5981263,3476.0,10.03.2023,148124,visa-electron,60-5981263,Wine - Soave Folonari,22.10.2023,6306.0,,Elwyn Vertigan
94-2399164,56-6143883,78-3035590,9721.0,23.04.2023,537007,jcb,78-3035590,Pork Loin Cutlets,08.11.2023,3267.0,,Gwyneth Dener
35-6333947,87-9817288,22-4135809,,10.07.2023,76095,diners-club-enroute,22-4135809,"Corn - Cream, Canned",04.06.2023,84.0,1025.77,Davin Loxley
85-8462055,79-0997292,30-1546830,3113.0,04.04.2023,277982,,30-1546830,Beef - Top Butt Aaa,14.06.2023,7753.0,2983.06,Elliott Spolton
92-7305900,55-3738295,55-3562770,5133.0,22.03.2023,355665,jcb,55-3562770,"Pepper - Chillies, Crushed",25.07.2023,,3118.41,Hetty Have
72-9031424,48-7687670,04-3242567,74.0,20.09.2023,328120,jcb,04-3242567,Ice Cream - Chocolate,31.10.2023,4608.0,3989.11,Jacynth Milillo
73-2821677,66-4183715,,4539.0,06.03.2023,524669,switch,,Bread - Dark Rye,22.05.2023,2087.0,,Ruben Burburough
07-8814154,13-2001115,,7668.0,06.12.2022,524359,,,Puree - Passion Fruit,31.01.2023,698.0,1797.39,Desdemona Serrurier
05-5517028,02-6751627,02-8346073,9348.0,13.10.2023,524943,jcb,02-8346073,Pepper - Yellow Bell,11.12.2022,1830.0,3668.22,Bobby Roalfe
72-2758611,43-0422224,94-6047579,8788.0,18.04.2023,517181,jcb,94-6047579,"Lamb - Shoulder, Boneless",23.06.2023,3689.0,3273.19,Atalanta Gott
65-6836844,92-2552221,67-1307089,8566.0,11.11.2023,557666,,67-1307089,Peach - Fresh,23.08.2023,7208.0,1078.27,Kristi Lunnon
